# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_stop_gained	variants_effect_upstream_gene_variant
ECB_00020	gene-ECB_00020	TRANSCRIPT_gene-ECB_00020	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00021	gene-ECB_00021	TRANSCRIPT_gene-ECB_00021	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00265	gene-ECB_00265	TRANSCRIPT_gene-ECB_00265	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00320	gene-ECB_00320	TRANSCRIPT_gene-ECB_00320	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00624	gene-ECB_00624	TRANSCRIPT_gene-ECB_00624	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00839	gene-ECB_00839	TRANSCRIPT_gene-ECB_00839	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00840	gene-ECB_00840	TRANSCRIPT_gene-ECB_00840	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00841	gene-ECB_00841	TRANSCRIPT_gene-ECB_00841	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00842	gene-ECB_00842	TRANSCRIPT_gene-ECB_00842	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00843	gene-ECB_00843	TRANSCRIPT_gene-ECB_00843	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00844	gene-ECB_00844	TRANSCRIPT_gene-ECB_00844	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00845	gene-ECB_00845	TRANSCRIPT_gene-ECB_00845	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
ECB_00846	gene-ECB_00846	TRANSCRIPT_gene-ECB_00846	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00848	gene-ECB_00848	TRANSCRIPT_gene-ECB_00848	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_00849	gene-ECB_00849	TRANSCRIPT_gene-ECB_00849	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00850	gene-ECB_00850	TRANSCRIPT_gene-ECB_00850	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_00851	gene-ECB_00851	TRANSCRIPT_gene-ECB_00851	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01334	gene-ECB_01334	TRANSCRIPT_gene-ECB_01334	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_01335	gene-ECB_01335	TRANSCRIPT_gene-ECB_01335	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_01336	gene-ECB_01336	TRANSCRIPT_gene-ECB_01336	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01341	gene-ECB_01341	TRANSCRIPT_gene-ECB_01341	protein_coding	0	0	3	0	0	0	0	2	0	0	0	0	1
ECB_01342	gene-ECB_01342	TRANSCRIPT_gene-ECB_01342	protein_coding	0	0	4	0	0	0	0	3	0	0	0	0	1
ECB_01343	gene-ECB_01343	TRANSCRIPT_gene-ECB_01343	protein_coding	0	0	4	0	0	0	0	3	0	0	0	0	1
ECB_01344	gene-ECB_01344	TRANSCRIPT_gene-ECB_01344	protein_coding	0	0	4	0	0	0	0	3	0	0	0	0	1
ECB_01382	gene-ECB_01382	TRANSCRIPT_gene-ECB_01382	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01505	gene-ECB_01505	TRANSCRIPT_gene-ECB_01505	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01506	gene-ECB_01506	TRANSCRIPT_gene-ECB_01506	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
ECB_01507	gene-ECB_01507	TRANSCRIPT_gene-ECB_01507	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
ECB_01510	gene-ECB_01510	TRANSCRIPT_gene-ECB_01510	protein_coding	1	0	1	0	0	0	0	1	1	0	0	0	0
ECB_01516	gene-ECB_01516	TRANSCRIPT_gene-ECB_01516	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
ECB_01628	gene-ECB_01628	TRANSCRIPT_gene-ECB_01628	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01757	gene-ECB_01757	TRANSCRIPT_gene-ECB_01757	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01797	gene-ECB_01797	TRANSCRIPT_gene-ECB_01797	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_01906	gene-ECB_01906	TRANSCRIPT_gene-ECB_01906	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
ECB_01907	gene-ECB_01907	TRANSCRIPT_gene-ECB_01907	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_01908	gene-ECB_01908	TRANSCRIPT_gene-ECB_01908	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_02199	gene-ECB_02199	TRANSCRIPT_gene-ECB_02199	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_02200	gene-ECB_02200	TRANSCRIPT_gene-ECB_02200	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_02621	gene-ECB_02621	TRANSCRIPT_gene-ECB_02621	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_02648	gene-ECB_02648	TRANSCRIPT_gene-ECB_02648	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_02649	gene-ECB_02649	TRANSCRIPT_gene-ECB_02649	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
ECB_02650	gene-ECB_02650	TRANSCRIPT_gene-ECB_02650	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_02651	gene-ECB_02651	TRANSCRIPT_gene-ECB_02651	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_02652	gene-ECB_02652	TRANSCRIPT_gene-ECB_02652	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_03436	gene-ECB_03436	TRANSCRIPT_gene-ECB_03436	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_03437	gene-ECB_03437	TRANSCRIPT_gene-ECB_03437	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_03438	gene-ECB_03438	TRANSCRIPT_gene-ECB_03438	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_03457	gene-ECB_03457	TRANSCRIPT_gene-ECB_03457	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ECB_03459	gene-ECB_03459	TRANSCRIPT_gene-ECB_03459	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_03460	gene-ECB_03460	TRANSCRIPT_gene-ECB_03460	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
aas	gene-ECB_02684	TRANSCRIPT_gene-ECB_02684	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aat	gene-ECB_00889	TRANSCRIPT_gene-ECB_00889	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
accD	gene-ECB_02241	TRANSCRIPT_gene-ECB_02241	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
acpP	gene-ECB_01090	TRANSCRIPT_gene-ECB_01090	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
acrB	gene-ECB_00413	TRANSCRIPT_gene-ECB_00413	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
adk	gene-ECB_00425	TRANSCRIPT_gene-ECB_00425	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aes	gene-ECB_00427	TRANSCRIPT_gene-ECB_00427	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
aidB	gene-ECB_04054	TRANSCRIPT_gene-ECB_04054	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
alaV	gene-ECB_t00002	rna-ECB_t00002	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
amn	gene-ECB_01894	TRANSCRIPT_gene-ECB_01894	protein_coding	1	0	1	0	0	0	0	1	1	0	0	0	0
ampH	gene-ECB_00323	TRANSCRIPT_gene-ECB_00323	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
amtB	gene-ECB_00403	TRANSCRIPT_gene-ECB_00403	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ansB	gene-ECB_02787	TRANSCRIPT_gene-ECB_02787	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
appA	gene-ECB_00983	TRANSCRIPT_gene-ECB_00983	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
appB	gene-ECB_00982	TRANSCRIPT_gene-ECB_00982	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
argD	gene-ECB_03210	TRANSCRIPT_gene-ECB_03210	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
argS	gene-ECB_01847	TRANSCRIPT_gene-ECB_01847	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
argT	gene-ECB_02235	TRANSCRIPT_gene-ECB_02235	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
argW	gene-ECB_t00038	rna-ECB_t00038	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
argX	gene-ECB_t00067	rna-ECB_t00067	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aroE	gene-ECB_03132	TRANSCRIPT_gene-ECB_03132	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
arpB	arpB	gene-ECB_01689	pseudogene	0	0	1	0	0	0	0	0	0	0	0	0	1
artI	gene-ECB_00868	TRANSCRIPT_gene-ECB_00868	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
artJ	gene-ECB_00865	TRANSCRIPT_gene-ECB_00865	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
artM	gene-ECB_00866	TRANSCRIPT_gene-ECB_00866	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
artP	gene-ECB_00869	TRANSCRIPT_gene-ECB_00869	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
artQ	gene-ECB_00867	TRANSCRIPT_gene-ECB_00867	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aslA	gene-ECB_03676	TRANSCRIPT_gene-ECB_03676	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
aslB	gene-ECB_03675	TRANSCRIPT_gene-ECB_03675	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
asnA	gene-ECB_03628	TRANSCRIPT_gene-ECB_03628	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
asnC	gene-ECB_03627	TRANSCRIPT_gene-ECB_03627	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
asnU	gene-ECB_t00035	rna-ECB_t00035	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
asnV	gene-ECB_t00036	rna-ECB_t00036	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
asnW	gene-ECB_t00034	rna-ECB_t00034	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
aspA	gene-ECB_04009	TRANSCRIPT_gene-ECB_04009	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
aspC	gene-ECB_00932	TRANSCRIPT_gene-ECB_00932	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aspT	gene-ECB_t00065	rna-ECB_t00065	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
aspU	gene-ECB_t00003	rna-ECB_t00003	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
asr	gene-ECB_01566	TRANSCRIPT_gene-ECB_01566	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
atoA	gene-ECB_02149	TRANSCRIPT_gene-ECB_02149	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
atoB	gene-ECB_02151	TRANSCRIPT_gene-ECB_02151	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
atoC	gene-ECB_02147	TRANSCRIPT_gene-ECB_02147	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
atoD	gene-ECB_02148	TRANSCRIPT_gene-ECB_02148	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
atoE	gene-ECB_02150	TRANSCRIPT_gene-ECB_02150	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
atoS	gene-ECB_02146	TRANSCRIPT_gene-ECB_02146	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
betA	gene-ECB_00267	TRANSCRIPT_gene-ECB_00267	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
bipA	gene-ECB_03756	TRANSCRIPT_gene-ECB_03756	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
bolA	gene-ECB_00386	TRANSCRIPT_gene-ECB_00386	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
btuC	gene-ECB_01680	TRANSCRIPT_gene-ECB_01680	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cbl	gene-ECB_01897	TRANSCRIPT_gene-ECB_01897	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
cchA	gene-ECB_02348	TRANSCRIPT_gene-ECB_02348	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
cchB	gene-ECB_02347	TRANSCRIPT_gene-ECB_02347	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmA	gene-ECB_02128	TRANSCRIPT_gene-ECB_02128	protein_coding	0	1	0	0	1	0	0	0	0	0	0	0	0
ccmB	gene-ECB_02127	TRANSCRIPT_gene-ECB_02127	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmC	gene-ECB_02126	TRANSCRIPT_gene-ECB_02126	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmD	gene-ECB_02125	TRANSCRIPT_gene-ECB_02125	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmE	gene-ECB_02124	TRANSCRIPT_gene-ECB_02124	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmF	gene-ECB_02123	TRANSCRIPT_gene-ECB_02123	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmG	gene-ECB_02122	TRANSCRIPT_gene-ECB_02122	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccmH	gene-ECB_02121	TRANSCRIPT_gene-ECB_02121	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
ccrB	gene-ECB_00594	TRANSCRIPT_gene-ECB_00594	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
cdsA	gene-ECB_00173	TRANSCRIPT_gene-ECB_00173	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cedA	gene-ECB_01700	TRANSCRIPT_gene-ECB_01700	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
celD	gene-ECB_01704	TRANSCRIPT_gene-ECB_01704	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
celF	gene-ECB_01703	TRANSCRIPT_gene-ECB_01703	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cfa	gene-ECB_01632	TRANSCRIPT_gene-ECB_01632	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
cirA	gene-ECB_02084	TRANSCRIPT_gene-ECB_02084	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
citA	gene-ECB_00589	TRANSCRIPT_gene-ECB_00589	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
citB	gene-ECB_00590	TRANSCRIPT_gene-ECB_00590	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
citC	gene-ECB_00586	TRANSCRIPT_gene-ECB_00586	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
citD	gene-ECB_00585	TRANSCRIPT_gene-ECB_00585	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
citE	gene-ECB_00584	TRANSCRIPT_gene-ECB_00584	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
citF	gene-ECB_00583	TRANSCRIPT_gene-ECB_00583	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
clpA	gene-ECB_00887	TRANSCRIPT_gene-ECB_00887	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
clpP	gene-ECB_00388	TRANSCRIPT_gene-ECB_00388	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
clpS	gene-ECB_00886	TRANSCRIPT_gene-ECB_00886	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
clpX	gene-ECB_00389	TRANSCRIPT_gene-ECB_00389	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
cobS	gene-ECB_01901	TRANSCRIPT_gene-ECB_01901	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cobU	gene-ECB_01902	TRANSCRIPT_gene-ECB_01902	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cpdA	gene-ECB_02904	TRANSCRIPT_gene-ECB_02904	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
crcA	gene-ECB_00592	TRANSCRIPT_gene-ECB_00592	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
crp	gene-ECB_03208	TRANSCRIPT_gene-ECB_03208	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
csgE	gene-ECB_01036	TRANSCRIPT_gene-ECB_01036	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
csgF	gene-ECB_01035	TRANSCRIPT_gene-ECB_01035	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
csgG	gene-ECB_01034	TRANSCRIPT_gene-ECB_01034	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cspC	gene-ECB_01793	TRANSCRIPT_gene-ECB_01793	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cspD	gene-ECB_00885	TRANSCRIPT_gene-ECB_00885	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2
cspE	gene-ECB_00593	TRANSCRIPT_gene-ECB_00593	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
cspH	gene-ECB_00991	TRANSCRIPT_gene-ECB_00991	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cspI	gene-ECB_01517	TRANSCRIPT_gene-ECB_01517	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
cutC	gene-ECB_01845	TRANSCRIPT_gene-ECB_01845	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cvpA	gene-ECB_02238	TRANSCRIPT_gene-ECB_02238	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
cyaA	gene-ECB_03681	TRANSCRIPT_gene-ECB_03681	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cybC	cybC	gene-ECB_04104	pseudogene	0	0	1	0	0	0	0	1	0	0	0	0	0
cydC	gene-ECB_00890	TRANSCRIPT_gene-ECB_00890	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
cydD	gene-ECB_00891	TRANSCRIPT_gene-ECB_00891	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0	0
cysD	gene-ECB_02602	TRANSCRIPT_gene-ECB_02602	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cysH	gene-ECB_02607	TRANSCRIPT_gene-ECB_02607	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cysI	gene-ECB_02608	TRANSCRIPT_gene-ECB_02608	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cysJ	gene-ECB_02609	TRANSCRIPT_gene-ECB_02609	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
cysN	gene-ECB_02601	TRANSCRIPT_gene-ECB_02601	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
cysT	gene-ECB_t00030	rna-ECB_t00030	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dacA	gene-ECB_00601	TRANSCRIPT_gene-ECB_00601	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dacB	gene-ECB_03047	TRANSCRIPT_gene-ECB_03047	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
dacD	gene-ECB_01913	TRANSCRIPT_gene-ECB_01913	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
dcuA	gene-ECB_04008	TRANSCRIPT_gene-ECB_04008	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
dcuC	gene-ECB_00591	TRANSCRIPT_gene-ECB_00591	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
deaD	gene-ECB_03029	TRANSCRIPT_gene-ECB_03029	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dedA	gene-ECB_02242	TRANSCRIPT_gene-ECB_02242	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dedD	gene-ECB_02239	TRANSCRIPT_gene-ECB_02239	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
def	gene-ECB_03137	TRANSCRIPT_gene-ECB_03137	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
deoA	gene-ECB_04258	TRANSCRIPT_gene-ECB_04258	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
deoC	gene-ECB_04257	TRANSCRIPT_gene-ECB_04257	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
